产品,课程页面,锚文本,跳转链接
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_23.html,DS18B20 Temperature Sensor module,https://www.sunfounder.com/products/ds18b20hhc-temperature-sensor
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_24.html,RGB LED module,https://www.sunfounder.com/products/rgb-led-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_25.html,Infrared-receiver module,https://www.sunfounder.com/products/infrared-receiver-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_26.html,Dual-color LED module,https://www.sunfounder.com/products/dual-color-led-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_27.html,Sound Sensor module,https://www.sunfounder.com/products/sound-sensor
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_28.html,Rotary Encoder module,https://www.sunfounder.com/products/rotary-encoder-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_29.html,Laser transmitter module,https://www.sunfounder.com/products/laser-transmitter-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_30.html,Tracking sensor module,https://www.sunfounder.com/products/tracking-sensor-module
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_31.html,Obstacle avoidance sensor module,https://www.sunfounder.com/products/obstacle-avoidance-sensor
,https://docs.sunfounder.com/projects/sensorkit-v2-arduino/en/latest/lesson_33.html,AD/DA Converter PCF8591,https://www.sunfounder.com/products/pcf8591-converter-module
